TOPIC
"25,000 turn out for last  shahi snan"
 Curfew In Uttarkhand's Haridwar After  's Final Shahi Snan
"Last Shahi Snan of  over, Covid Curfew imposed in Haridwar"
"  Now ?Symbolic?, Yet Crowds Gather for Last ?Shahi Snan?"
" 2021: Astrology, Mortality and the Indifference to Life of Leaders and Stars"
" Shravan Rathod Was At   Before Testing COVID-Positive, Reveals Son "
"Shocking revelation: Visit to   killed Shravan Rathod, Says Singer Udit Narayan"
India's  festival attracts big crowds amid devastating second Covid wave
Haridwar: Hundreds test positive for Covid at  
"Shocked Malaika Arora shares pic of Haridwar  , reminds 'it's pandemic'"
"Shravan Rathod's Death: Udit Narayan Reveals He Attended  , Says 'I Was Shocked'"
Music Composer Shravan Who Succumbed To COVID-19 Attended   Against His Son's Advice
 Akhilesh Yadav Tests Positive For COVID-19 Days After Visiting Haridwar  
#BoycottCEAT trends on social media after Harsh Goenka tweets on  
" returnees should be traced, quarantined & tested: Mumbai mayor"
  2021 Photos: Huge Crowds Flock to Haridwar Amid Surge In Covid-19 Cases
   2021: Maha In Haridwar With Covid-19 Guidelines 
" News18 Afternoon Digest: BMC Likely to Quarantine Pilgrims Arriving from  , 4 Sikhs Among 8 Killed in FedEx Facility Mass Shooting in US & Other Stories"
Thousands take 'Shahi Snan' at   amid Covid-19 surge
Moradabad railway division launches ???Maha  ??? mobile app for pilgrims
"Know the difference between , Ardha , Purna  and Maha "
 2021 Dates: All you need to know about Maha  
 Haridwar  : Court Asks Uttarakhand Government For Covid SOPs 
Maha  : Haridwar painted with mythological-themed graffiti art
Hovercrafts are Coming up for Maha 
Lone elephant radio-collared ahead of Maha  'electrocuted to death' in Haridwar
"Defer Maha  by a year, say Haridwar seers"
FAKE ALERT: 2019 photo showing large crowd passed off as 2021   amid second wave of Covid
2019 Photo From Prayagraj Shared As  2021 Amid COVID-19 Surge
Fact Check: Photo from 2019 Prayag  passed off as 2021  
  2019 to generate revenue of Rs 1.2 lakh crore: CII
  2019 to be spread over larger area
  2019 Explained: All About the Hindu Pilgrimage
Artificial Intelligence real showstopper of   2019
Railways to run 800 special trains during 2019  
Preparations in full swing for Ardh   2019
" 2019 budget estimate: over Rs 4,200 crore"
a  2019 dates out; new developments you can look forward to
Photos:   2019
" numbers not downgraded, claim Uttarakhand officials"
Cops: Number of  pilgrims not downgraded
Juna seers mark end of 
" returnee, 67, infects 33 in Bengaluru"
"Over 20,000 Covid cases in Haridwar since April 12"
Village panels to isolate   returnees
